Position,Team,Seasons,Points
1,Legia Warsaw,86,3482
2,Wisła Kraków,82,2927
3,Górnik Zabrze,65,2453
4,Ruch Chorzów,77,2428
5,Lech Poznań,62,2366
6,ŁKS Łódź,65,1785
7,Pogoń Szczecin,50,1677
8,Śląsk Wrocław,44,1591
9,Widzew Łódź,36,1403
10,Zagłębie Lubin,34,1401
11,Cracovia,44,1331
12,GKS Katowice,30,1030
13,Lechia Gdańsk,31,1007
14,Polonia Warsaw,31,966
15,Zagłębie Sosnowiec,36,918
16,Polonia Bytom,35,881
17,Stal Mielec,28,835
18,Jagiellonia Białystok,20,822
19,Korona Kielce,15,658
20,Szombierki Bytom,25,645
21,Piast Gliwice,13,632
22,Wisła Płock,16,620
23,Warta Poznań,21,553
24,Gwardia Warszawa,23,539
25,Odra Wodzisław Śląski,14,529
26,Odra Opole,22,523
27,Arka Gdynia,16,510
28,Amica Wronki,11,498
29,GKS Bełchatów,12,486
30,Dyskobolia Grodzisk Wielkopolski,10,441
31,Raków Częstochowa,8,392
32,Zawisza Bydgoszcz,14,376
32,Garbarnia Kraków,15,306
34,Pogoń Lwów,13,304
35,Stomil Olsztyn,8,296
36,Górnik Łęczna,8,276
37,Olimpia PoznańLechia/Olimpia Gdańsk,9,260
38,Stal Rzeszów,11,255
39,Hutnik Kraków,7,254
40,KS Warszawianka,13,227
41,Podbeskidzie Bielsko-Biała,6,222
40,Motor Lublin,9,220
42,AKS Chorzów,10,196
43,Bałtyk Gdynia,7,186
44,ROW Rybnik,7,165
45,Bruk-Bet Termalica Nieciecza,4,156
46,Rymer NiedobczyceGórnik Radlin,9,155
47,Górnik Wałbrzych,6,154
48,Zagłębie Wałbrzych,6,142
49,Czarni Lwów,7,141
50,Sokół PniewySokół Tychy,4,130
51,Polonia Bydgoszcz,7,129
52,Radomiak Radom,3,117
53,Ruch Radzionków,3,109
54,Stal Stalowa Wola,4,103
55,1. FC Katowice,3,88
56,GKS Tychy,3,86
57,Union Touring Łódź,4,76
58,KSZO Ostrowiec Świętokrzyski,3,71
59,Siarka Tarnobrzeg,3,65
60,Arkonia Szczecin,4,64
61,Miedź Legnica,2,63
62,Śląsk Świętochłowice,3,45
63,Unia Racibórz,2,38
64,Hasmonea Lwów,2,38
65,Wawel Kraków,2,37
66,Igloopol Dębica,2,37
68,Sandecja Nowy Sącz,1,33
69,Szczakowianka Jaworzno,1,32
70,RKS Radomsko,1,31
71,TKS Toruń,2,30
74,Górnik Polkowice,1,23
75,Tarnovia Tarnów,1,22
76,Świt Nowy Dwór Mazowiecki,1,22
77,GKS Jastrzębie,1,19
78,Dąb Katowice,2,14
80,Śmigły Wilno,1,11
81,Jutrzenka Kraków,1,11
82,Lechia Lwów,1,11
83,Puszcza Niepołomice,1,0
1,Ali Gholizadeh,"1,80 mln €",2023
2,Bartosz Slisz,"1,50 mln €",2020
5,Lirim Kastrati,"1,30 mln €",2021
7,Adriel Ba Loua,"1,20 mln €",2021
1,Jakub ModerLech PoznańBrighton & Hove Albion,"11,00 mln €",2020
3,Jakub KamińskiLech PoznańVfL Wolfsburg,"10,00 mln €",2022
5,Radosław MajeckiLegia WarsawAS Monaco,"7,00 mln €",2020
6,Jan BednarekLech PoznańSouthampton,"6,00 mln €",2017
8,Sebastian SzymańskiLegia WarsawDynamo Moscow,"5,5 mln €",2019
9,Adrian MierzejewskiPolonia WarsawTrabzonspor,"5,25 mln €",2011
10,Bartosz KapustkaCracoviaLeicester City,"5,00 mln €",2016
